symbol_x,symbol_y
TRAF6,AKT1
PTK6,AKT1
FKBP5,AKT1
TCL1A,AKT1
ARHGDIA,AKT1
VAV1,AKT1
CYFIP2,AKT1
DOCK1,AKT1
CDC42,AKT1
AKT3,AKT1
FKBP4,HSF1
PPP5C,HSF1
STUB1,HSF1
CDC37,HSF1
SDF2,HSF1
SDF2L1,HSF1
DNAJB1,HSF1
CCT7,HSF1
YWHAE,HSF1
CCT6A,HSF1
CCT5,HSF1
HSPB8,HSF1
CCT8,HSF1
CCT3,HSF1
TSC1,HSF1
CCT2,HSF1
HSPA4,HSF1
TCP1,HSF1
PSMG2,HSF1
CCT6B,HSF1
PSMG1,HSF1
HSP90AA1,HSF1
STIP1,HSF1
VCP,HSF1
BAG3,HSF1
HSP90AB1,HSF1
DNAJC9,HSF1
HSPA1B,HSF1
HDAC6,HSF1
CCT4,HSF1
HSBP1,HSF1
DNAJB11,HSF1
HSPA8,HSF1
PTGES3,HSF1
FKBP4,NR3C2
NR3C1,NR3C2
HSP90AA1,NR3C2
HSP90AB1,NR3C2
NCOA1,NR3C2
PTGES3,NR3C2
CYP26B1,CYP26A1
CYP26C1,CYP26A1
CYP26B1,CYP26C1
CYP26A1,CYP26C1
NDUFAF7,NDUFS2
NDUFB4,NDUFS2
UQCRC1,NDUFS2
NDUFB7,NDUFS2
NDUFS7,NDUFS2
NDUFA2,NDUFS2
NDUFA10,NDUFS2
COX5B,NDUFS2
NDUFB5,NDUFS2
NDUFAF1,NDUFS2
PALB2,NDUFS2
FOXRED1,NDUFS2
NDUFS3,NDUFS2
MGLL,NDUFS2
NDUFA9,NDUFS2
UQCRC2,NDUFS2
NDUFB10,NDUFS2
ECSIT,NDUFS2
NDUFS6,NDUFS2
NDUFB11,NDUFS2
NDUFB9,NDUFS2
NDUFC2,NDUFS2
COX6A2,NDUFS2
COX7A1,NDUFS2
NDUFAF2,NDUFS2
NDUFS4,NDUFS2
NDUFB8,NDUFS2
NDUFA7,NDUFS2
UQCRFS1,NDUFS2
UQCRH,NDUFS2
ACAD9,NDUFS2
NDUFS8,NDUFS2
CYC1,NDUFS2
COX5A,NDUFS2
NDUFAF3,NDUFS2
NDUFV2,NDUFS2
NDUFA12,NDUFS2
UQCR10,NDUFS2
PWWP3B,NDUFS2
NDUFA4,NDUFS2
NDUFV3,NDUFS2
MT-CO1,NDUFS2
MT-CYB,NDUFS2
MT-ND6,NDUFS2
MT-ND1,NDUFS2
